acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,recall,recall_labels,train_mode
0.6920654911838791,"[0.6649874055415617, 0.7191435768261965]",0.5993300480086629,0.07153035300533946,40.0,0.0,0.27902140672782827,"[0.2399999999999995, 0.31804281345565705]",0.7841876745223999,0.0001,Y_net,0.3396004700352526,"[0.22702702702702704, 0.45217391304347826]",0.24991423670668952,"[0.2545454545454545, 0.24528301886792453]",valid
0.8758333333333334,"[0.8666666666666667, 0.885]",0.49974191880454777,0.07694948903388447,41.0,0.0,0.7221618088180486,"[0.6858638743455492, 0.758459743290548]",0.3334366313285298,0.0001,Y_net,0.8217371316244194,"[0.803680981595092, 0.8397932816537468]",0.6448314388419314,"[0.5981735159817352, 0.6914893617021277]",train
0.7027707808564232,"[0.716624685138539, 0.6889168765743073]",0.6032900043896267,0.07051156760592546,41.0,0.0,0.23698352476482465,"[0.1697416974169737, 0.3042253521126756]",0.7943895757198334,0.0001,Y_net,0.2973017548489246,"[0.2169811320754717, 0.3776223776223776]",0.19705546026300744,"[0.1393939393939394, 0.25471698113207547]",valid
0.8797222222222223,"[0.8716666666666667, 0.8877777777777778]",0.4948472951290989,0.07583210311002202,42.0,0.0,0.736286987982943,"[0.7042253521126755, 0.7683486238532105]",0.3181749958131048,0.0001,Y_net,0.8175413022351798,"[0.8017492711370262, 0.8333333333333334]",0.6703099193626736,"[0.6278538812785388, 0.7127659574468085]",train
0.6838790931989924,"[0.7027707808564232, 0.6649874055415617]",0.6070822096148203,0.06955722660952529,42.0,0.0,0.28541062801932315,"[0.21333333333333282, 0.3574879227053135]",0.7958297282457352,0.0001,Y_net,0.3016868353502017,"[0.23703703703703705, 0.36633663366336633]",0.2714979988564894,"[0.19393939393939394, 0.3490566037735849]",valid
0.9011111111111111,"[0.8877777777777778, 0.9144444444444444]",0.4891874448537375,0.07474574067352359,43.0,0.0,0.7933413269384486,"[0.757793764988009, 0.8288888888888883]",0.27384604033496646,0.0001,Y_net,0.8327108292224572,"[0.797979797979798, 0.8674418604651163]",0.7575391042456038,"[0.7214611872146118, 0.7936170212765957]",train
0.6656171284634761,"[0.6397984886649875, 0.6914357682619647]",0.6154663945463571,0.06870302807709033,43.0,0.0,0.2861593655589119,"[0.3124999999999995, 0.25981873111782433]",1.0079588294029236,0.0001,Y_net,0.31015434062071046,"[0.2589641434262948, 0.36134453781512604]",0.2983847913093196,"[0.3939393939393939, 0.2028301886792453]",valid
0.8983333333333333,"[0.8833333333333333, 0.9133333333333333]",0.48379984158792616,0.07369913903237493,44.0,0.0,0.7819349962207099,"[0.7407407407407403, 0.8231292517006796]",0.274393964641624,0.0001,Y_net,0.8437597870341371,"[0.8064516129032258, 0.8810679611650486]",0.728635966190615,"[0.684931506849315, 0.7723404255319148]",train
0.6908060453400504,"[0.6851385390428212, 0.6964735516372796]",0.6210427145163219,0.06783876484259962,44.0,0.0,0.22652141992578878,"[0.2038216560509549, 0.24922118380062264]",0.8962119668722153,0.0001,Y_net,0.2908687888676806,"[0.21476510067114093, 0.3669724770642202]",0.1913093196112064,"[0.19393939393939394, 0.18867924528301888]",valid
0.9130555555555555,"[0.9138888888888889, 0.9122222222222223]",0.4782575260379896,0.0726898291265223,45.0,0.0,0.819850350946894,"[0.8152562574493438, 0.824444444444444]",0.2561242093642553,0.0001,Y_net,0.8578292640491794,"[0.8528678304239401, 0.8627906976744186]",0.7850918099679394,"[0.7808219178082192, 0.7893617021276595]",train
