acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.93275,"[0.943, 0.9225]",0.2580425152430932,0.20800405088191232,11.0,0.0,0.866791856687233,"[0.8805031446540874, 0.8530805687203785]",0.2719753459095955,0.0001,0.8665072834426777,"[0.8823529411764706, 0.8506616257088847]",0.8670871979254497,"[0.8786610878661087, 0.8555133079847909]",train,ynet
0.7441077441077442,"[0.7962962962962963, 0.6919191919191919]",0.6058968459980355,0.1838183577482899,11.0,0.0,0.41426656187878463,"[0.457399103139013, 0.3711340206185562]",0.6941449791193008,0.0001,0.4602040816326531,"[0.5204081632653061, 0.4]",0.3770769230769231,"[0.408, 0.34615384615384615]",valid,ynet
0.93025,"[0.9385, 0.922]",0.2532885529903265,0.1974530243472411,12.0,0.0,0.8597921486541069,"[0.8690095846645361, 0.8505747126436776]",0.2670817126333713,0.0001,0.8710876975519057,"[0.8850325379609545, 0.8571428571428571]",0.8488314746169878,"[0.8535564853556485, 0.844106463878327]",train,ynet
0.7314814814814815,"[0.8013468013468014, 0.6616161616161617]",0.613229175676138,0.1747350793140821,12.0,0.0,0.4071153846153841,"[0.43269230769230715, 0.381538461538461]",0.7669528702894847,0.0001,0.45451629001211946,"[0.5421686746987951, 0.3668639053254438]",0.3787179487179487,"[0.36, 0.3974358974358974]",valid,ynet
0.94625,"[0.9555, 0.937]",0.24706666234614594,0.18794891262959157,13.0,0.0,0.891680725410587,"[0.9052183173588919, 0.8781431334622819]",0.23057754412293435,0.0001,0.9078048405554512,"[0.9219088937093276, 0.8937007874015748]",0.8761196048172837,"[0.8891213389121339, 0.8631178707224335]",train,ynet
0.7441077441077442,"[0.803030303030303, 0.6851851851851852]",0.6158615666131179,0.16648237131358612,13.0,0.0,0.4633715220949258,"[0.5021276595744676, 0.4246153846153841]",0.7092798133691152,0.0001,0.4723238300161377,"[0.5363636363636364, 0.40828402366863903]",0.45715384615384613,"[0.472, 0.4423076923076923]",valid,ynet
0.9405,"[0.9485, 0.9325]",0.24267629556854567,0.17932109658171733,14.0,0.0,0.8806776868749009,"[0.8905419766206158, 0.870813397129186]",0.23974283233284951,0.0001,0.8908267685405977,"[0.9049676025917927, 0.8766859344894027]",0.8707940245318739,"[0.8765690376569037, 0.8650190114068441]",train,ynet
0.7676767676767677,"[0.8249158249158249, 0.7104377104377104]",0.6168747677074539,0.1590506674680445,14.0,0.0,0.5128936799830897,"[0.5438596491228065, 0.48192771084337294]",0.6860663940509161,0.0001,0.528243601059135,"[0.6019417475728155, 0.45454545454545453]",0.5044102564102564,"[0.496, 0.5128205128205128]",valid,ynet
0.94775,"[0.957, 0.9385]",0.2376108336728066,0.1714837012300268,15.0,0.0,0.8958851674641144,"[0.9094736842105259, 0.8822966507177029]",0.21555167578160764,0.0001,0.9017504327095784,"[0.9152542372881356, 0.8882466281310212]",0.8900957729449386,"[0.9037656903765691, 0.876425855513308]",train,ynet
0.7407407407407407,"[0.8013468013468014, 0.6801346801346801]",0.6206770909018815,0.15222412172394495,15.0,0.0,0.45026838432635485,"[0.4869565217391299, 0.4135802469135798]",0.7275378773609797,0.0001,0.4660714285714286,"[0.5333333333333333, 0.39880952380952384]",0.43874358974358973,"[0.448, 0.42948717948717946]",valid,ynet
0.9432499999999999,"[0.946, 0.9405]",0.23352843202650547,0.16434680631932091,16.0,0.0,0.8857496303037191,"[0.8855932203389825, 0.8859060402684558]",0.21836649365723132,0.0001,0.895306364715551,"[0.8969957081545065, 0.8936170212765957]",0.8764019918227086,"[0.8744769874476988, 0.8783269961977186]",train,ynet
0.771043771043771,"[0.7912457912457912, 0.7508417508417509]",0.6207431368091527,0.14618415392789186,16.0,0.0,0.4857142857142852,"[0.49999999999999944, 0.4714285714285709]",0.671344542503357,0.0001,0.5181615525832677,"[0.5040650406504065, 0.532258064516129]",0.45953846153846156,"[0.496, 0.4230769230769231]",valid,ynet
0.9430000000000001,"[0.952, 0.934]",0.2296836351375613,0.15783407779410483,17.0,0.0,0.8851783477286208,"[0.8965517241379305, 0.8738049713193111]",0.21143978036940098,0.0001,0.9016452991452991,"[0.9244444444444444, 0.8788461538461538]",0.8695570899024772,"[0.8702928870292888, 0.8688212927756654]",train,ynet
0.7651515151515151,"[0.8080808080808081, 0.7222222222222222]",0.6288564768930276,0.1405708088160113,17.0,0.0,0.4364130434782604,"[0.5249999999999995, 0.34782608695652123]",0.8119271983702977,0.0001,0.500717167189601,"[0.5478260869565217, 0.4536082474226804]",0.393025641025641,"[0.504, 0.28205128205128205]",valid,ynet
0.9475,"[0.9565, 0.9385]",0.2260606124330508,0.15185927266549124,18.0,0.0,0.8939481678521766,"[0.9081309398099255, 0.8797653958944276]",0.2051589834690094,0.0001,0.9111384726268057,"[0.9168443496801706, 0.9054325955734407]",0.877547448971475,"[0.899581589958159, 0.8555133079847909]",train,ynet
0.7584175084175084,"[0.8063973063973064, 0.7104377104377104]",0.6324261429801322,0.13536844122828098,18.0,0.0,0.4385187035533624,"[0.5188284518828448, 0.3582089552238801]",0.7384059538443883,0.0001,0.48621553884711777,"[0.543859649122807, 0.42857142857142855]",0.40184615384615385,"[0.496, 0.3076923076923077]",valid,ynet
0.9455,"[0.9555, 0.9355]",0.22273771003447473,0.14632692013680934,19.0,0.0,0.891029613259892,"[0.9062170706006316, 0.8758421559191526]",0.20081478610634804,0.0001,0.8999453694391677,"[0.9129511677282378, 0.8869395711500975]",0.8823003006825015,"[0.899581589958159, 0.8650190114068441]",train,ynet
0.7668350168350169,"[0.8063973063973064, 0.7272727272727273]",0.6366799888759851,0.1305777926122149,19.0,0.0,0.47979059093516874,"[0.5381526104417665, 0.42142857142857093]",0.7570585290590922,0.0001,0.5080645161290323,"[0.5403225806451613, 0.47580645161290325]",0.4571025641025641,"[0.536, 0.3782051282051282]",valid,ynet
0.94775,"[0.956, 0.9395]",0.21926548173562402,0.14123899006772608,20.0,0.0,0.8939011382764189,"[0.9067796610169485, 0.8810226155358893]",0.18930130444467066,0.0001,0.9154392804384501,"[0.9184549356223176, 0.9124236252545825]",0.8735542580778592,"[0.895397489539749, 0.8517110266159695]",train,ynet
0.7516835016835017,"[0.7676767676767676, 0.7356902356902357]",0.6412748253061658,0.1261665146147448,20.0,0.0,0.44407359863072265,"[0.43902439024390194, 0.44912280701754337]",0.7711125105619431,0.0001,0.4712025113716446,"[0.4462809917355372, 0.49612403100775193]",0.42112820512820515,"[0.432, 0.41025641025641024]",valid,ynet
0.954,"[0.9545, 0.9535]",0.21560882431708953,0.1365373845516958,21.0,0.0,0.9078276942939993,"[0.9043112513144054, 0.9113441372735934]",0.17662268713116647,0.0001,0.9115244220406744,"[0.9090909090909091, 0.9139579349904398]",0.9041634185532239,"[0.899581589958159, 0.908745247148289]",train,ynet
