acc,acc_labels,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,pair,pair_loss,prec,prec_labels,prob,recall,recall_labels,train_mode
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.0557688623666763,0.0,[56],92.0,0.0,0.0,"[0.0, 0.0]",2.0557688623666763,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09029711379359166,0.0,[56],93.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21560235801670286,0.0001,vgg16,1.0,0.12530524542348254,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.269928678870201,0.0,[56],93.0,0.0,0.0,"[0.0, 0.0]",2.269928678870201,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9994444444444445,"[0.9994444444444445, 0.9994444444444445]",0.09406488249078393,0.0,[56],94.0,0.0,0.9988960900654187,"[0.9988571428571423, 0.9989350372736949]",0.21978944049527246,0.0001,vgg16,1.0,0.12572455834597349,1.0,"[1.0, 1.0]",[0.1],0.9977946177013505,"[0.997716894977169, 0.997872340425532]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.3977626264095306,0.0,[56],94.0,0.0,0.0,"[0.0, 0.0]",2.3977626264095306,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9994444444444445,"[0.9994444444444445, 0.9994444444444445]",0.09099233447470599,0.0,[56],95.0,0.0,0.9988960900654187,"[0.9988571428571423, 0.9989350372736949]",0.2165550544237097,0.0001,vgg16,1.0,0.1255627196178668,1.0,"[1.0, 1.0]",[0.1],0.9977946177013505,"[0.997716894977169, 0.997872340425532]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.45859956741333,0.0,[56],95.0,0.0,0.0,"[0.0, 0.0]",2.45859956741333,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09101628554571006,0.0,[56],96.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.2166096342313621,0.0001,vgg16,1.0,0.12559334883052442,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.5010207295417786,0.0,[56],96.0,0.0,0.0,"[0.0, 0.0]",2.5010207295417786,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09134380562851827,0.0,[56],97.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21709896485424704,0.0001,vgg16,1.0,0.12575515939129722,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.456189304590225,0.0,[56],97.0,0.0,0.0,"[0.0, 0.0]",2.456189304590225,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09056089472190555,0.0,[56],98.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21621516079321737,0.0001,vgg16,1.0,0.12565426639206564,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.4967756867408752,0.0,[56],98.0,0.0,0.0,"[0.0, 0.0]",2.4967756867408752,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09068012582138181,0.0,[56],99.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.2161912353295419,0.0001,vgg16,1.0,0.12551110941502783,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.592350572347641,0.0,[56],99.0,0.0,0.0,"[0.0, 0.0]",2.592350572347641,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
